RIC,Date,BID,ASK,ACCRUAL,MID_YIELD,CONVEXITY,MOD_DURATION,BPV,ZSPREAD,OIS_SPREAD
DEBU2F00=,2026-02-24,94.128,94.185,2.0444,3.0865,177.3157,12.0296,11.573,13.4655,32.6238
DEBU2F00=,2026-02-25,94.125,94.187,2.0515,3.0867,177.2483,12.0269,11.571,13.7223,31.9419
DEBU2F00=,2026-02-26,94.297,94.343,2.0729,3.0727,177.1508,12.0235,11.59,13.6184,33.0612
DEBU2F00=,2026-02-27,94.802,94.857,2.08,3.029,177.4045,12.035,11.663,13.3348,32.3829
DEBU2F00=,2026-03-02,94.215,94.28,2.0871,3.0791,176.971,12.0161,11.576,14.2986,33.4306
DEBU2F00=,2026-03-03,93.625,93.7,2.0942,3.13,176.5331,11.9968,11.488,14.891,32.8796
DEBU2F00=,2026-03-04,93.809,93.864,2.1014,3.1149,176.5767,11.9991,11.512,14.3514,30.4834
DEBU2F00=,2026-03-05,92.847,92.928,2.1227,3.1981,175.7705,11.964,11.367,15.5665,32.7494
DEBU2F00=,2026-03-06,92.744,92.877,2.1299,3.205,175.6543,11.9591,11.354,15.1635,30.6258
DEBU2T00=,2025-12-31,,,,,,,,,
DEBU2T00=,2026-01-02,,,,,,,,,
DEBU2T00=,2026-01-05,,,,,,,,,
DEBU2T00=,2026-01-06,,,,,,,,,
DEBU2T00=,2026-01-07,,,,,,,,,
DEBU2T00=,2026-01-08,,,,,,,,,
DEBU2T00=,2026-01-09,,,,,,,,,
DEBU2T00=,2026-01-12,,,,,,,,,
DEBU2T00=,2026-01-13,,,,,,,,,
DEBU2T00=,2026-01-14,,,,,,,,,
DEBU2T00=,2026-01-15,,,,,,,,,
DEBU2T00=,2026-01-16,,,,,,,,,
DEBU2T00=,2026-01-19,,,,,,,,,
DEBU2T00=,2026-01-20,,,,,,,,,
DEBU2T00=,2026-01-21,,,,,,,,,
DEBU2T00=,2026-01-22,,,,,,,,,
DEBU2T00=,2026-01-23,,,,,,,,,
DEBU2T00=,2026-01-26,,,,,,,,,
DEBU2T00=,2026-01-27,,,,,,,,,
DEBU2T00=,2026-01-28,100.101,100.217,0,3.3881,286.6937,14.9873,15.011,20.6787,38.5652
DEBU2T00=,2026-01-29,100.272,100.388,0,3.3767,286.8959,14.9944,15.044,21.2696,38.6847
DEBU2T00=,2026-01-30,100.028,100.121,0,3.3937,286.5936,14.9838,14.995,22.145,39.5392
DEBU2T00=,2026-02-02,99.786,99.877,0.0093,3.41,286.2236,14.9711,14.947,22.4725,39.5593
DEBU2T00=,2026-02-03,99.326,99.428,0.0186,3.4404,285.6004,14.9495,14.859,22.9865,39.8578
DEBU2T00=,2026-02-04,99.624,99.724,0.0279,3.4205,285.8729,14.9593,14.915,22.9914,39.8905
DEBU2T00=,2026-02-05,99.956,100.048,0.0559,3.3985,286.0173,14.965,14.974,22.577,39.6451
DEBU2T00=,2026-02-06,99.802,99.899,0.0652,3.4086,285.756,14.956,14.943,22.8743,39.6409
DEBU2T00=,2026-02-09,99.695,99.79,0.0745,3.4159,285.5462,14.9489,14.922,23.7185,40.7945
DEBU2T00=,2026-02-10,100.306,100.402,0.0838,3.375,286.1884,14.9716,15.037,23.5044,40.1312
DEBU2T00=,2026-02-11,100.547,100.639,0.0932,3.3591,286.3881,14.9788,15.082,23.103,39.6417
DEBU2T00=,2026-02-12,100.827,100.934,0.1211,3.3401,286.4802,14.9827,15.133,23.314,39.755
DEBU2T00=,2026-02-13,101.062,101.142,0.1304,3.3254,286.6575,14.9891,15.174,24.4215,40.554
DEBU2T00=,2026-02-16,101.026,101.129,0.1397,3.327,286.5472,14.9855,15.168,25.3118,40.915
DEBU2T00=,2026-02-17,101.335,101.439,0.149,3.3066,286.8262,14.9954,15.226,25.2839,40.443
DEBU2T00=,2026-02-18,101.335,101.441,0.1584,3.3066,286.7456,14.9928,15.225,24.5425,40.3692
DEBU2T00=,2026-02-19,101.35,101.456,0.1863,3.3055,286.5178,14.9855,15.224,23.8112,39.5732
DEBU2T00=,2026-02-20,101.511,101.608,0.1956,3.2952,286.6178,14.9892,15.252,23.3735,37.5237
DEBU2T00=,2026-02-23,101.767,101.868,0.2049,3.2783,286.835,14.9971,15.3,22.9827,37.9841
DEBU2T00=,2026-02-24,101.91,101.993,0.2142,3.2696,286.9081,14.9998,15.325,23.6238,38.9255
DEBU2T00=,2026-02-25,101.881,101.964,0.2236,3.2714,286.7928,14.996,15.318,23.98,38.3572
DEBU2T00=,2026-02-26,102.089,102.202,0.2515,3.2568,286.8046,14.9971,15.357,24.0491,39.3812
DEBU2T00=,2026-02-27,102.729,102.82,0.2608,3.216,287.4444,15.0197,15.476,23.9604,38.9687
DEBU2T00=,2026-03-02,102.064,102.171,0.2701,3.2586,286.6088,14.9907,15.349,25.1645,40.2144
DEBU2T00=,2026-03-03,101.368,101.482,0.2795,3.3039,285.7265,14.96,15.215,26.9058,40.9066
DEBU2T00=,2026-03-04,101.51,101.627,0.2888,3.2945,285.8113,14.9632,15.241,25.9575,39.6963
DEBU2T00=,2026-03-05,100.561,100.674,0.3167,3.3572,284.4588,14.9164,15.056,27.6268,40.8742
DEBU2T00=,2026-03-06,100.51,100.647,0.326,3.3598,284.3317,14.9121,15.047,28.837,40.2397
DEBU2Z00=,2025-12-31,97.706,97.756,2.0416,2.6538,48.8661,6.3329,6.319,-8.6927,16.2587
DEBU2Z00=,2026-01-02,97.472,97.522,2.0479,2.6906,48.7859,6.327,6.298,-7.4953,17.2028
DEBU2Z00=,2026-01-05,97.606,97.656,2.0542,2.6677,48.7768,6.3264,6.307,-7.3352,17.2735
DEBU2Z00=,2026-01-06,97.802,97.852,2.0605,2.6369,48.7771,6.3264,6.32,-7.5684,16.4502
DEBU2Z00=,2026-01-07,98.047,98.097,2.0668,2.6018,48.7824,6.3268,6.335,-6.8644,16.9812
DEBU2Z00=,2026-01-08,97.915,97.965,2.0858,2.6228,48.6483,6.3169,6.318,-6.9054,17.0374
DEBU2Z00=,2026-01-09,97.893,97.943,2.0921,2.625,48.6094,6.3141,6.315,-6.9616,16.7554
DEBU2Z00=,2026-01-12,98.034,98.084,2.0984,2.6039,48.5981,6.3133,6.323,-6.0787,17.6977
DEBU2Z00=,2026-01-13,97.982,98.01,2.1047,2.6127,48.5514,6.3098,6.316,-6.3273,17.4257
DEBU2Z00=,2026-01-14,98.158,98.208,2.111,2.5831,48.5502,6.3097,6.329,-7.4299,16.4099
